Kode,Nama Kriteria,Deskripsi,Saran Stimulasi,Kelompok Usia
K1,Intelektual Umum,"Kemampuan intelektual anak yang menyeluruh, mencakup daya tangkap verbal yang baik, ingatan yang kuat, serta kemampuan berpikir dan menggunakan kata-kata abstrak di atas rata-rata usianya.","Dukung dengan membacakan buku cerita interaktif, ajak berdiskusi tentang kejadian sehari-hari, berikan permainan kata-kata (tebak kata), dan dorong anak menceritakan kembali kegiatannya secara terstruktur.",preschool
K2,Akademik Khusus,"Kemampuan menonjol anak pada bidang akademik tertentu, khususnya penguasaan konsep angka/matematika dasar, pemahaman kuantitas benda, serta keingintahuan ilmiah terhadap alam sekitar (sains anak usia dini).","Fasilitasi dengan permainan hitung-menghitung benda nyata, puzzle angka, eksperimen sains sederhana di rumah (seperti mencampur warna atau menenggelamkan benda), serta eksplorasi alam terbuka.",preschool
K3,Berpikir Kreatif dan Produktif,"Kemampuan mengemukakan ide unik, menggambar ekspresif, menunjukkan empati sosial yang tinggi, mandiri dalam bertindak, serta menghargai karya orang lain.","Sediakan beragam media seni (cat, krayon, tanah liat), hargai setiap gagasan barunya tanpa langsung mengoreksi, libatkan dalam kegiatan bermain peran yang membutuhkan penyelesaian konflik sederhana secara mandiri.",preschool
K4,Kepemimpinan,"Kemampuan sosial untuk memimpin teman sebaya, bertanggung jawab terhadap tugas mandiri maupun kelompok, bekerja sama dengan baik, mengendalikan emosi, serta bersikap kooperatif.","Berikan tanggung jawab kecil di rumah (merapikan mainan), libatkan dalam permainan kelompok bergiliran (board games), latih anak mendengarkan pendapat orang lain, dan berikan apresiasi saat ia mau berbagi.",preschool
K5,Seni Visual dan Pertunjukan,"Kepekaan estetika yang tinggi pada bidang visual (melukis/menggambar detail), musik (peka nada dan ritme), serta seni pertunjukan (ekspresi gerakan tubuh dan bermain peran drama).","Perkenalkan alat musik anak-anak, dengarkan lagu dengan berbagai ketukan, fasilitasi ruang untuk menari secara bebas mengikuti alunan musik, dan ajjak bermain peran (drama boneka/sandiwara boneka tangan).",preschool
K6,Psikomotorik,"Keterampilan fisik dan motorik yang matang, mencakup keseimbangan motorik kasar (berlari, melompat, meniti) serta kelenturan motorik halus dan mekanis (melipat origami, menggunting pola, memanipulasi obeng mainan).","Ajak melakukan aktivitas luar ruangan (bersepeda, memanjat jaring bermain, berdiri satu kaki), latih motorik halus dengan melipat kertas, menggunting pola gambar, merakit lego/mainan bongkar-pasang mekanik.",preschool
TK1,Intelektual Umum,Kemampuan komunikasi dan memori dasar pada anak usia 3 tahun.,"Dukung dengan membacakan buku bergambar, bernyanyi bersama, dan merespons celoteh anak dengan kalimat lengkap.",toddler
TK2,Akademik Khusus,Kemampuan mengenal konsep angka dasar (1-3) dan bentuk/warna dasar.,"Ajak bermain puzzle balok sederhana, menyebutkan warna mainan, dan berhitung jari.",toddler
TK3,Berpikir Kreatif dan Produktif,Kemampuan imajinasi awal dan rasa ingin tahu yang tinggi.,"Sediakan kertas kosong dan krayon besar untuk mencoret-coret, ajak bermain pura-pura (pretend play) sederhana.",toddler
TK4,Kepemimpinan,"Kemampuan sosialisasi awal, kepatuhan instruksi, dan empati sederhana.","Latih kepatuhan dengan instruksi satu langkah (seperti membereskan mainan), beri contoh berempati secara hangat.",toddler
TK5,Seni Visual dan Pertunjukan,Kepekaan dasar anak terhadap irama musik dan gambar berwarna.,"Putar musik anak-anak dan ajak bergoyang/bertepuk tangan bersama, sediakan buku bergambar besar.",toddler
TK6,Psikomotorik,Keterampilan motorik kasar dan halus dasar seperti berlari stabil dan menggenggam krayon.,"Ajak anak bermain lempar-tangkap bola besar, berlari di taman, dan meronce manik-manik besar.",toddler
